inscricao,idade,sexo,conclusao_ens_med,tipo_ens_med,treineiro,cadeira_canhoto,gestante,idoso,celular_na_residencia,internet_na_residencia,pessoas_na_residencia,renda_mensal_familiar,nota_ct,nota_ch,nota_lc,nota_mt,nota_redacao,estado,municipio,municipio_id
266985,19,F,Concluído,1,0,0,0,0,1,A,3,1497.00 até 1996.00,462.4,393.6,472.3,417.0,480.0,BA,ARACATU,2902005
1862603,16,F,Cursando,1,1,0,0,0,1,A,3,1497.00 até 1996.00,444.8,529.7,513.9,528.6,600.0,GO,GOIANIRA,5208806
1411090,18,F,Cursando,2,0,0,0,0,1,B,4,<= 998.00,457.8,489.3,464.1,410.2,540.0,MG,JANAÚBA,3135100
312596,17,F,Cursando,2,0,0,0,0,1,B,3,1497.00 até 1996.00,558.3,597.4,576.5,560.6,800.0,MG,BELO HORIZONTE,3106200
935863,25,F,Cursando,2,0,0,0,0,1,A,4,998.00 até 1497.00,,,,,,CE,PACATUBA,2309706
80806,21,F,Concluído,1,0,0,0,0,1,B,5,1996.00 até 2495.00,441.3,546.9,557.7,480.5,620.0,AM,MANAUS,1302603
2726367,49,F,Concluído,1,0,0,0,0,1,B,2,Nenhuma Renda,,,,,,BA,LAURO DE FREITAS,2919207
2982511,19,F,Concluído,1,0,0,0,0,1,B,3,1996.00 até 2495.00,466.2,431.2,528.4,526.7,740.0,BA,RIO DE CONTAS,2926707
4366231,16,F,Cursando,1,1,0,0,0,1,B,2,4990.00 até 5988.00,439.1,575.9,551.7,405.4,720.0,RJ,RIO DAS OSTRAS,3304524
1388211,19,M,Concluído,1,0,0,0,0,1,B,2,998.00 até 1497.00,,426.2,527.4,,580.0,ES,VITÓRIA,3205309
1783424,18,F,Concluído,1,0,0,0,0,1,B,4,998.00 até 1497.00,521.0,469.1,513.3,495.9,760.0,RN,PARNAMIRIM,2403251
4513157,19,M,Cursando,2,0,0,0,0,1,B,4,<= 998.00,455.2,501.9,596.3,536.0,620.0,RJ,RIO DE JANEIRO,3304557
2869622,17,M,Cursando,2,0,0,0,0,1,B,4,5988.00 até 6986.00,547.5,583.2,532.7,628.2,660.0,PR,IPORÃ,4110607
3336,28,F,Concluído,1,0,0,0,0,1,B,6,Nenhuma Renda,395.2,365.7,413.4,479.8,560.0,PA,SANTARÉM,1506807
623717,18,M,Cursando,2,0,0,0,0,1,B,4,998.00 até 1497.00,421.4,502.8,502.2,567.0,560.0,MG,VARGINHA,3170701
495925,31,M,Concluído,1,0,0,0,0,1,B,4,998.00 até 1497.00,533.3,622.4,631.8,669.5,700.0,PE,JABOATÃO DOS GUARARAPES,2607901
552723,32,F,Concluído,1,0,0,0,0,1,B,3,998.00 até 1497.00,,,,,,RJ,RIO DE JANEIRO,3304557
1416395,34,M,Concluído,1,0,0,0,0,1,B,1,2495.00 até 2994.00,,,,,,SP,SÃO PAULO,3550308
5025672,20,F,Concluído,1,0,0,0,0,1,B,6,1497.00 até 1996.00,376.0,449.6,446.6,394.8,280.0,GO,GOIÂNIA,5208707
2781097,15,M,Cursando,1,1,0,0,0,1,B,4,2495.00 até 2994.00,580.0,580.8,581.8,608.4,700.0,MG,BELO HORIZONTE,3106200
4180176,18,F,Cursando,2,0,0,0,0,0,A,4,<= 998.00,,,,,,PE,RECIFE,2611606
587098,28,F,Concluído,1,0,0,0,0,1,B,2,<= 998.00,,,,,,RJ,RIO DE JANEIRO,3304557
3899136,16,F,Cursando,1,1,0,0,0,1,B,3,3992.00 até 4990.00,382.6,543.9,510.5,503.3,540.0,PR,TOLEDO,4127700
4122512,20,M,Concluído,1,0,0,0,0,1,B,2,2495.00 até 2994.00,,,,,,SP,TIMBURI,3554607
4354570,29,M,Concluído,1,0,0,0,0,1,B,4,1996.00 até 2495.00,612.3,607.0,602.9,630.7,500.0,MG,UBERABA,3170107
3402410,17,M,Cursando,3,0,0,0,0,1,B,5,998.00 até 1497.00,569.0,575.0,520.0,606.3,920.0,PB,CATOLÉ DO ROCHA,2504306
1935285,32,M,Concluído,1,0,0,0,0,1,B,3,998.00 até 1497.00,,,,,,MG,OLIVEIRA,3145604
3945066,18,M,Cursando,2,0,0,0,0,1,B,4,<= 998.00,465.0,457.8,507.0,601.3,580.0,AC,RIO BRANCO,1200401
2975690,38,F,Concluído,1,0,0,0,0,1,A,8,998.00 até 1497.00,,480.9,440.6,,540.0,PA,ANANINDEUA,1500800
1765829,19,M,Cursando,1,1,0,0,0,1,A,7,<= 998.00,,,,,,RN,SÃO JOSÉ DO CAMPESTRE,2412302
4748017,19,M,Concluído,1,0,0,0,0,1,B,7,<= 998.00,,,,,,MG,VIÇOSA,3171303
4047353,47,M,Concluído,1,0,0,0,0,1,B,3,11976.00 até 14970.00,,,,,,PB,JOÃO PESSOA,2507507
2028633,24,F,Concluído,1,0,0,0,0,1,A,4,<= 998.00,,,,,,PA,ITAITUBA,1503606
1062276,26,F,Concluído,1,0,0,0,0,1,A,1,<= 998.00,,454.1,457.6,,300.0,MA,SÃO LUÍS,2111300
301671,18,F,Concluído,1,0,0,0,0,1,B,3,2994.00 até 3992.00,569.1,586.2,580.4,686.0,940.0,MG,PARÁ DE MINAS,3147105
206439,31,M,Concluído,1,0,0,0,0,1,A,4,<= 998.00,375.7,431.8,399.7,374.8,340.0,MA,SÃO LUÍS,2111300
4063676,28,M,Concluído,1,0,0,0,0,0,B,1,Nenhuma Renda,,,,,,TO,PALMAS,1721000
4181202,25,F,Concluído,1,0,0,0,0,1,B,4,<= 998.00,388.5,412.6,442.1,466.2,500.0,RN,BARAÚNA,2401453
4878747,19,F,Concluído,1,0,0,0,0,1,B,4,1996.00 até 2495.00,,,,,,SP,SERRANA,3551504
3525531,25,M,Concluído,1,0,0,0,0,1,B,2,1996.00 até 2495.00,478.0,517.4,563.5,609.9,600.0,MG,CONTAGEM,3118601
4870952,17,F,Cursando,2,0,0,0,0,1,B,5,1996.00 até 2495.00,460.2,403.5,466.4,487.8,560.0,SP,JUNDIAÍ,3525904
2990953,20,F,Concluído,1,0,0,0,0,1,B,5,1996.00 até 2495.00,,,,,,ES,GUARAPARI,3202405
4552933,46,M,Concluído,1,0,0,0,0,1,A,4,998.00 até 1497.00,541.6,478.8,416.2,382.0,600.0,PB,LAGOA SECA,2508307
3650762,19,M,Cursando,2,0,0,0,0,1,B,3,<= 998.00,587.4,591.7,601.9,662.7,760.0,MG,GOVERNADOR VALADARES,3127701
4086199,26,M,Concluído,1,0,0,0,0,1,B,2,<= 998.00,434.7,478.8,440.7,456.8,440.0,PA,TUCURUÍ,1508100
